EQUIPMENT_CODE;EQUIDESCR;STATUS;VALID_FROM;VALID_TO;CATEGORY;LAST_MODIFICATIONTIMESTAMP;OBJECT_TYPE;MAIN_PLANT;LOCATION;ROOM;PLANTSECTION;ABC_INDICATOR;SORT_FIELD;FUNCT_LOC;
000000000000204273;Kreiselppe. (Magnetkupplung);I0100;Tue Jan 12 00:00:00 CET 2010;Tue Jan 12 00:00:00 CET 2010;M;Tue Aug 31 00:00:00 CEST 2010;W;0894;C410; -0,67 M;;B;DOK-P:01\;APP-M-A-000-POOL;
000000000000204273;Kreiselppe. (Magnetkupplung);I0100;Tue Jan 12 00:00:00 CET 2010;Thu Mar 18 00:00:00 CET 2010;M;Tue Aug 31 00:00:00 CEST 2010;W;0894;C509; -0,67 M;;B;DOK-P:01\;HOE-M-A-084-P01;
000000000000204273;Kreiselppe. (Magnetkupplung);I0100;Thu Mar 18 00:00:00 CET 2010;Tue Aug 31 00:00:00 CEST 2010;M;Tue Aug 31 00:00:00 CEST 2010;W;0894;C566;;;B;DOK-P:01\;HOE-M-A-084-P01;
000000000000204273;Kreiselppe. (Magnetkupplung);I0100;Tue Aug 31 00:00:00 CEST 2010;Fri Dec 31 00:00:00 CET 9999;M;Tue Aug 31 00:00:00 CEST 2010;W;0894;C410;;;B;DOK-P:01\;APP-M-A-000-POOL;
000000000000204274;Kreiselppe. (Gleitring);I0100;Tue Jan 12 00:00:00 CET 2010;Mon Jan 03 00:00:00 CET 2011;M;Mon Jan 03 00:00:00 CET 2011;W;0894;C507;+00,00 M;;B;DOK-P:01\;HOE-M-A-025-P01;
000000000000204274;Kreiselppe. (Gleitring);I0100;Mon Jan 03 00:00:00 CET 2011;Fri Dec 31 00:00:00 CET 9999;M;Mon Jan 03 00:00:00 CET 2011;W;0894;C410;+00,00 M;;B;DOK-P:01\;APP-M-A-000-POOL;
000000000000204275;Verdichter/ Flüssigkeitsring (Gleitring);I0100;Tue Jan 12 00:00:00 CET 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C516;EG;;A;DOK-P:01\BGI-200\;HOE-M-A-020-V01;
000000000000204276;Kreiselppe. (Magnetkupplung);I0100;Tue Jan 12 00:00:00 CET 2010;Wed Jan 13 00:00:00 CET 2010;M;Wed Jan 13 00:00:00 CET 2010;W;0894;C502S;+00,40 M;;B;DOK-P:01\;HOE-M-A-005-P03;
000000000000204276;Kreiselppe. (Magnetkupplung);I0100;Wed Jan 13 00:00:00 CET 2010;Fri Dec 31 00:00:00 CET 9999;M;Wed Jan 13 00:00:00 CET 2010;W;0894;C410;+00,40 M;;B;DOK-P:01\;APP-M-A-000-POOL;
000000000000204277;Kreiselppe. (Magnetkupplung);I0100;Tue Jan 12 00:00:00 CET 2010;Mon Apr 26 00:00:00 CEST 2010;M;Mon Apr 26 00:00:00 CEST 2010;W;0894;C502S;+00,40 M;;B;DOK-P:01\KOMB-263;HOE-M-A-005-P02;
000000000000204277;Kreiselppe. (Magnetkupplung);I0100;Mon Apr 26 00:00:00 CEST 2010;Fri Dec 31 00:00:00 CET 9999;M;Mon Apr 26 00:00:00 CEST 2010;W;0894;C410;;;B;DOK-P:01\KOMB-263;APP-M-A-000-POOL;
000000000000204278;Membranpumpe (Antrieb mit verdicht. Gas);I0100;Tue Jan 12 00:00:00 CET 2010;Wed Aug 04 00:00:00 CEST 2010;M;Wed Aug 04 00:00:00 CEST 2010;W;0894;C509;+05,00 M;;B;DOK-P:01\BGI-224\;HOE-M-A-026-P03;
000000000000204278;Membranpumpe (Antrieb mit verdicht. Gas);I0100;Wed Aug 04 00:00:00 CEST 2010;Fri Dec 31 00:00:00 CET 9999;M;Wed Aug 04 00:00:00 CEST 2010;W;0894;C410;+05,00 M;;B;DOK-P:01\BGI-224\;APP-M-A-000-POOL;
000000000000204283;Kreiselppe. (Magnetkupplung);I0100;Wed Jan 13 00:00:00 CET 2010;Tue Feb 16 00:00:00 CET 2010;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C509;+00,00 M;;B;DOK-P:01\KOMB-284;HOE-M-A-036-P36;
